"year","month","day","week","death","temp"
2001,2,16,1521,48,2.94674072265627
2001,2,17,1521,40,4.75982055664065
2001,2,18,1521,37,3.1602722167969
2001,2,19,1522,45,2.50356445312502
2001,2,20,1522,50,4.81218872070315
2001,2,21,1522,48,4.79619750976565
2001,2,22,1522,52,8.07598266601565
2001,2,23,1522,55,5.7061706542969
2001,2,24,1522,48,0.977746582031273
2001,2,25,1522,49,-0.792059326171852
2001,2,26,1523,47,1.29891357421877
2001,2,27,1523,54,2.7143493652344
2001,2,28,1523,52,1.91109619140627
2001,3,1,1523,55,1.5903259277344
2001,3,2,1523,54,1.34795532226565
2001,3,3,1523,66,3.26735839843752
2001,3,4,1523,58,5.28225097656252
2001,3,5,1524,61,4.29897460937502
2001,3,6,1524,48,7.71807250976565
2001,3,7,1524,57,12.9522033691406
2001,3,8,1524,48,9.31606445312502
2001,3,9,1524,49,9.85531005859377
2001,3,10,1524,42,11.3265930175781
2001,3,11,1524,41,12.4726501464844
2001,3,12,1525,62,9.4238220214844
2001,3,13,1525,53,7.5615173339844
2001,3,14,1525,60,8.14223632812502
2001,3,15,1525,52,11.0405212402344
2001,3,16,1525,41,11.4226318359375
2001,3,17,1525,54,10.1379638671875
2001,3,18,1525,45,8.4959655761719
2001,3,19,1526,63,4.89431152343752
2001,3,20,1526,40,6.03334960937502
2001,3,21,1526,57,12.5473876953125
2001,3,22,1526,55,11.047265625
2001,3,23,1526,54,12.7991577148438
2001,3,24,1526,53,10.5715576171875
2001,3,25,1526,58,7.27922973632815
2001,3,26,1527,43,5.59542236328127
2001,3,27,1527,56,8.38054809570315
2001,3,28,1527,52,8.2369323730469
2001,3,29,1527,47,7.9562927246094
2001,3,30,1527,57,7.47701416015627
2001,3,31,1527,43,8.82290039062502
2001,4,1,1527,53,11.0890747070313
2001,4,2,1528,50,14.2732482910156
2001,4,3,1528,51,11.8846374511719
2001,4,4,1528,51,9.35073242187502
2001,4,5,1528,46,7.6048522949219
2001,4,6,1528,59,11.3700500488281
2001,4,7,1528,44,8.05904541015627
2001,4,8,1528,43,8.76699218750002
2001,4,9,1529,51,10.2755676269531
2001,4,10,1529,59,9.7210632324219
2001,4,11,1529,55,8.62090454101565
2001,4,12,1529,51,6.36092529296877
2001,4,13,1529,42,5.31691894531252
2001,4,14,1529,53,4.61477050781252
2001,4,15,1529,38,9.01897583007815
2001,4,16,1530,34,7.22561035156252
2001,4,17,1530,51,5.9876647949219
2001,4,18,1530,54,6.41790161132815
2001,4,19,1530,46,3.96209106445315
2001,4,20,1530,39,4.38713989257815
2001,4,21,1530,52,5.54128417968752
2001,4,22,1530,33,6.23418579101565
2001,4,23,1531,37,8.82451782226565
2001,4,24,1531,52,10.4747863769531
2001,4,25,1531,49,10.3933044433594
2001,4,26,1531,50,10.7506652832031
2001,4,27,1531,49,11.2301574707031
2001,4,28,1531,51,10.5316101074219
2001,4,29,1531,35,10.8861633300781
2001,4,30,1532,42,11.0429016113281
2001,5,1,1532,45,11.9973083496094
2001,5,2,1532,47,13.5381408691406
2001,5,3,1532,47,13.0509582519531
2001,5,4,1532,46,9.3262878417969
2001,5,5,1532,52,8.50969848632815
2001,5,6,1532,43,8.68901977539065
2001,5,7,1533,54,10.4385620117188
2001,5,8,1533,40,12.5241638183594
2001,5,9,1533,54,14.9695983886719
2001,5,10,1533,39,17.4370056152344
2001,5,11,1533,43,18.0167175292969
2001,5,12,1533,53,18.1440979003906
2001,5,13,1533,46,16.715966796875
2001,5,14,1534,42,12.0892578125
2001,5,15,1534,54,13.3874755859375
2001,5,16,1534,58,14.5828796386719
2001,5,17,1534,43,12.793603515625
2001,5,18,1534,46,10.8938232421875
2001,5,19,1534,34,11.7298828125
2001,5,20,1534,39,14.058251953125
2001,5,21,1535,39,15.1429382324219
2001,5,22,1535,53,15.1250549316406
2001,5,23,1535,53,16.7627502441406
2001,5,24,1535,53,19.0012451171875
2001,5,25,1535,42,18.2541442871094
2001,5,26,1535,48,18.3586059570313
2001,5,27,1535,39,18.7270446777344
2001,5,28,1536,38,20.50771484375
2001,5,29,1536,47,19.6946960449219
2001,5,30,1536,59,19.131005859375
2001,5,31,1536,56,15.7435852050781
2001,6,1,1536,47,14.0974670410156
2001,6,2,1536,37,13.8696838378906
2001,6,3,1536,41,11.2145324707031
2001,6,4,1537,43,12.9603820800781
2001,6,5,1537,47,16.0514465332031
2001,6,6,1537,34,16.1477600097656
2001,6,7,1537,50,15.1818176269531
2001,6,8,1537,47,12.9891296386719
2001,6,9,1537,48,13.4086547851563
2001,6,10,1537,39,13.1215454101563
2001,6,11,1538,43,13.6779113769531
2001,6,12,1538,46,15.907373046875
2001,6,13,1538,34,16.2571350097656
2001,6,14,1538,36,16.4359375
2001,6,15,1538,38,16.3945556640625
2001,6,16,1538,42,16.2985778808594
2001,6,17,1538,35,15.1786743164063
2001,6,18,1539,53,13.8443237304688
2001,6,19,1539,49,14.2163635253906
2001,6,20,1539,44,17.4721923828125
2001,6,21,1539,63,17.6765380859375
2001,6,22,1539,56,16.6285949707031
2001,6,23,1539,39,18.6108642578125
2001,6,24,1539,58,21.9287658691406
2001,6,25,1540,45,23.5436645507813
2001,6,26,1540,71,25.6314025878906
2001,6,27,1540,64,19.4506774902344
2001,6,28,1540,60,19.0923706054688
2001,6,29,1540,40,21.2467895507813
2001,6,30,1540,44,20.5291076660156
2001,7,1,1540,42,19.0544982910156
2001,7,2,1541,51,21.3934265136719
2001,7,3,1541,45,23.1367431640625
2001,7,4,1541,60,22.820947265625
2001,7,5,1541,48,22.1000610351563
2001,7,6,1541,56,20.0045104980469
2001,7,7,1541,50,17.5683837890625
2001,7,8,1541,42,17.8036437988281
2001,7,9,1542,47,18.1380554199219
2001,7,10,1542,53,18.660791015625
2001,7,11,1542,41,16.9003845214844
2001,7,12,1542,44,14.4180541992188
2001,7,13,1542,34,14.743798828125
2001,7,14,1542,38,14.6701293945313
2001,7,15,1542,55,14.8803344726563
2001,7,16,1543,34,15.249169921875
2001,7,17,1543,36,15.4966369628906
2001,7,18,1543,41,14.3391357421875
2001,7,19,1543,33,15.205712890625
2001,7,20,1543,27,15.6028381347656
2001,7,21,1543,37,17.2240234375
2001,7,22,1543,29,20.7476440429688
2001,7,23,1544,42,20.1211791992188
2001,7,24,1544,42,19.5693298339844
2001,7,25,1544,38,21.2300964355469
2001,7,26,1544,46,22.3188110351563
2001,7,27,1544,46,23.3206115722656
2001,7,28,1544,48,23.4429870605469
2001,7,29,1544,44,22.4187255859375
2001,7,30,1545,69,24.1024719238281
2001,7,31,1545,48,22.9570251464844
2001,8,1,1545,47,21.6270080566406
2001,8,2,1545,39,22.5088745117188
2001,8,3,1545,39,20.79873046875
2001,8,4,1545,33,18.0002990722656
2001,8,5,1545,28,17.9367309570313
2001,8,6,1546,31,19.1987548828125
2001,8,7,1546,39,18.4445129394531
2001,8,8,1546,49,17.4139038085938
2001,8,9,1546,37,16.7427917480469
2001,8,10,1546,42,15.3712097167969
2001,8,11,1546,33,15.8562866210938
2001,8,12,1546,46,18.5924926757813
2001,8,13,1547,51,20.6171203613281
2001,8,14,1547,42,22.9175354003906
2001,8,15,1547,42,23.1271911621094
2001,8,16,1547,44,19.7390075683594
2001,8,17,1547,32,18.4610534667969
2001,8,18,1547,36,19.222802734375
2001,8,19,1547,38,18.9388366699219
2001,8,20,1548,36,18.1824890136719
2001,8,21,1548,31,18.6986022949219
2001,8,22,1548,37,20.6150756835938
2001,8,23,1548,52,22.6282287597656
2001,8,24,1548,45,23.6751342773438
2001,8,25,1548,46,24.8404174804688
2001,8,26,1548,49,25.7175842285156
2001,8,27,1549,52,20.8581176757813
2001,8,28,1549,38,17.9756713867188
2001,8,29,1549,38,18.5575500488281
2001,8,30,1549,39,18.3574462890625
2001,8,31,1549,50,15.4968811035156
